ID,Name,Age,Nationality,Overall,Potential,Club, Value , Wage ,Special
180206,M. Pjanić,27.00,Bosnia Herzegovina,85.00,86.00,Juventus, 43.5M , 160K ,2172.00
173210,C. Marchisio,31.00,Italy,85.00,85.00,Juventus, 33M , 160K ,2210.00
172871,J. Vertonghen,30.00,Belgium,85.00,85.00,Tottenham Hotspur, 28.5M , 130K ,2079.00
170890,B. Matuidi,30.00,France,85.00,85.00,Juventus, 28.5M , 145K ,2172.00
167628,S. Ruffier,30.00,France,85.00,85.00,AS Saint-Étienne, 24.5M , 49K ,1257.00
164169,Filipe Luís,31.00,Brazil,85.00,85.00,Atlético Madrid, 25M , 81K ,2134.00
139720,V. Kompany,31.00,Belgium,85.00,85.00,Manchester City, 26M , 170K ,1913.00
137186,A. Barzagli,36.00,Italy,85.00,85.00,Juventus, 5M , 105K ,1750.00
225508,E. Bailly,23.00,Ivory Coast,84.00,89.00,Manchester United, 35.5M , 150K ,1890.00
220834,Marco Asensio,21.00,Spain,84.00,92.00,Real Madrid CF, 46M , 175K ,1998.00
218667,Bernardo Silva,22.00,Portugal,84.00,91.00,Manchester City, 43.5M , 165K ,2012.00
212218,A. Laporte,23.00,France,84.00,89.00,Athletic Club de Bilbao, 35.5M , 36K ,1919.00
211117,D. Alli,21.00,England,84.00,90.00,Tottenham Hotspur, 43M , 115K ,2122.00
208722,S. Mané,25.00,Senegal,84.00,87.00,Liverpool, 39M , 175K ,2046.00
204963,Carvajal,25.00,Spain,84.00,87.00,Real Madrid CF, 32M , 195K ,2039.00
202166,J. Draxler,23.00,Germany,84.00,87.00,Paris Saint-Germain, 39.5M , 120K ,2017.00
201399,M. Icardi,24.00,Argentina,84.00,89.00,Inter, 42M , 105K ,1866.00
201153,Morata,24.00,Spain,84.00,88.00,Chelsea, 41M , 170K ,1862.00
201024,K. Koulibaly,26.00,Senegal,84.00,87.00,Napoli, 32.5M , 96K ,1610.00
200316,T. Horn,24.00,Germany,84.00,90.00,1. FC Köln, 31M , 39K ,1260.00
193747,Koke,25.00,Spain,84.00,88.00,Atlético Madrid, 39.5M , 84K ,2129.00
192774,K. Manolas,26.00,Greece,84.00,86.00,Roma, 31.5M , 96K ,1638.00
192227,S. Mustafi,25.00,Germany,84.00,86.00,Arsenal, 31.5M , 145K ,1942.00
191740,Ander Herrera,27.00,Spain,84.00,84.00,Manchester United, 32M , 190K ,2213.00
189712,K. Strootman,27.00,Netherlands,84.00,85.00,Roma, 35M , 105K ,2165.00
189505,Pedro,29.00,Spain,84.00,84.00,Chelsea, 30.5M , 200K ,1987.00
189117,R. Bürki,26.00,Switzerland,84.00,86.00,Borussia Dortmund, 26M , 69K ,1257.00
184120,Bruno,33.00,Spain,84.00,84.00,Villarreal CF, 18.5M , 59K ,2059.00
181458,I. Perišić,28.00,Croatia,84.00,84.00,Inter, 31.5M , 110K ,2078.00
180930,E. Džeko,31.00,Bosnia Herzegovina,84.00,84.00,Roma, 28M , 115K ,1861.00
180403,Willian,28.00,Brazil,84.00,84.00,Chelsea, 31.5M , 200K ,2061.00
179846,S. Khedira,30.00,Germany,84.00,84.00,Juventus, 29M , 160K ,2157.00
179783,R. Fährmann,28.00,Germany,84.00,85.00,FC Schalke 04, 25M , 54K ,1190.00
178750,Sergio Asenjo,28.00,Spain,84.00,85.00,Villarreal CF, 25M , 46K ,1341.00
178088,Juan Mata,29.00,Spain,84.00,84.00,Manchester United, 30.5M , 195K ,1982.00
177509,M. Benatia,30.00,Morocco,84.00,84.00,Juventus, 23M , 145K ,1764.00
177388,D. Payet,30.00,France,84.00,84.00,Olympique de Marseille, 29.5M , 60K ,2076.00
167397,Falcao,31.00,Colombia,84.00,84.00,AS Monaco, 28M , 68K ,2010.00
165229,L. Koscielny,31.00,France,84.00,84.00,Arsenal, 21M , 150K ,1866.00
164468,G. Cahill,31.00,England,84.00,84.00,Chelsea, 21M , 160K ,1839.00
146530,Dani Alves,34.00,Brazil,84.00,84.00,Paris Saint-Germain, 9M , 115K ,2208.00
143076,A. Gómez,29.00,Argentina,84.00,84.00,Atalanta, 31M , 60K ,2013.00
106231,Aduriz,36.00,Spain,84.00,84.00,Athletic Club de Bilbao, 11M , 38K ,1987.00
231747,K. Mbappé,18.00,France,83.00,94.00,Paris Saint-Germain, 41.5M , 31K ,2050.00
231443,O. Dembélé,20.00,France,83.00,92.00,FC Barcelona, 40M , 150K ,1969.00
220971,N. Keïta,22.00,Guinea,83.00,88.00,RB Leipzig, 34M , 68K ,2055.00
216460,J. Giménez,22.00,Uruguay,83.00,87.00,Atlético Madrid, 28.5M , 53K ,1760.00
215316,G. Rulli,25.00,Argentina,83.00,89.00,Real Sociedad, 25.5M , 28K ,1284.00
213565,T. Lemar,21.00,France,83.00,91.00,AS Monaco, 38.5M , 37K ,2171.00
212814,João Mário,24.00,Portugal,83.00,88.00,Inter, 34M , 70K ,2098.00
212190,N. Süle,21.00,Germany,83.00,89.00,FC Bayern Munich, 30.5M , 78K ,1630.00
210257,Ederson,23.00,Brazil,83.00,89.00,Manchester City, 26M , 87K ,1320.00
209499,Fabinho,23.00,Brazil,83.00,88.00,AS Monaco, 29.5M , 37K ,2114.00
209331,M. Salah,25.00,Egypt,83.00,86.00,Liverpool, 32.5M , 135K ,2032.00
208596,A. Belotti,23.00,Italy,83.00,90.00,Torino, 37M , 58K ,1935.00
208448,E. Forsberg,25.00,Sweden,83.00,85.00,RB Leipzig, 31.5M , 75K ,1949.00
207865,Marquinhos,23.00,Brazil,83.00,89.00,Paris Saint-Germain, 30.5M , 75K ,1869.00
207566,William Carvalho,25.00,Portugal,83.00,86.00,Sporting CP, 27.5M , 21K ,1967.00
205600,S. Umtiti,23.00,France,83.00,88.00,FC Barcelona, 29.5M , 135K ,2109.00
204485,R. Mahrez,26.00,Algeria,83.00,84.00,Leicester City, 30.5M , 88K ,1935.00
203376,V. van Dijk,25.00,Netherlands,83.00,86.00,Southampton, 27.5M , 89K ,2011.00
201942,Roberto Firmino,25.00,Brazil,83.00,87.00,Liverpool, 34M , 135K ,2101.00
200888,Danilo Pereira,25.00,Portugal,83.00,86.00,FC Porto, 27.5M , 18K ,2029.00
199715,Vitolo,27.00,Spain,83.00,83.00,UD Las Palmas, 27M , 68K ,1983.00
199482,A. Lopes,26.00,Portugal,83.00,86.00,Olympique Lyonnais, 22.5M , 60K ,1317.00
198176,S. de Vrij,25.00,Netherlands,83.00,88.00,Lazio, 29M , 56K ,1783.00
198009,M. Perin,24.00,Italy,83.00,88.00,Genoa, 25M , 28K ,1246.00
197061,J. Matip,25.00,Cameroon,83.00,85.00,Liverpool, 26.5M , 110K ,1884.00
193474,I. Gueye,27.00,Senegal,83.00,84.00,Everton, 24.5M , 115K ,2045.00
192629,Iago Aspas,29.00,Spain,83.00,83.00,RC Celta de Vigo, 26M , 39K ,2012.00
192366,N. Otamendi,29.00,Argentina,83.00,83.00,Manchester City, 20M , 140K ,1886.00
191202,N. Matić,28.00,Serbia,83.00,83.00,Manchester United, 21M , 140K ,2120.00
191180,J. Pastore,28.00,Argentina,83.00,83.00,Paris Saint-Germain, 25.5M , 100K ,2066.00
189513,Parejo,28.00,Spain,83.00,83.00,Valencia CF, 25.5M , 45K ,2089.00
189358,S. Kagawa,28.00,Japan,83.00,83.00,Borussia Dortmund, 26M , 75K ,1874.00
189125,G. Bonaventura,27.00,Italy,83.00,83.00,Milan, 26.5M , 115K ,2197.00
189068,B. Dost,28.00,Netherlands,83.00,83.00,Sporting CP, 27M , 28K ,1809.00
188377,K. Walker,27.00,England,83.00,84.00,Manchester City, 24M , 130K ,2164.00
188152,Oscar,25.00,Brazil,83.00,86.00,, $-   , $-   ,1961.00
187936,S. N'Zonzi,28.00,France,83.00,83.00,Sevilla FC, 21M , 25K ,2032.00
186547,M. Musacchio,26.00,Argentina,83.00,86.00,Milan, 27M , 105K ,1917.00
185239,O. Toprak,27.00,Turkey,83.00,84.00,Borussia Dortmund, 24.5M , 66K ,1864.00
185020,José Callejón,30.00,Spain,83.00,83.00,Napoli, 24.5M , 87K ,1987.00
184826,Adrien Silva,28.00,Portugal,83.00,83.00,, $-   , $-   ,2174.00
184431,S. Giovinco,30.00,Italy,83.00,83.00,Toronto FC, 25M , 15K ,1961.00
184144,N. Gaitán,29.00,Argentina,83.00,83.00,Atlético Madrid, 25.5M , 70K ,2006.00
181783,M. Mandžukić,31.00,Croatia,83.00,83.00,Juventus, 23.5M , 135K ,2104.00
180819,A. Lallana,29.00,England,83.00,83.00,Liverpool, 25M , 135K ,2141.00
179784,B. Höwedes,29.00,Germany,83.00,83.00,Juventus, 20M , 50K ,1862.00
178562,E. Banega,29.00,Argentina,83.00,83.00,Sevilla FC, 25.5M , 27K ,2086.00
178005,Rui Patrício,29.00,Portugal,83.00,83.00,Sporting CP, 17.5M , 19K ,1350.00
177683,Y. Sommer,28.00,Switzerland,83.00,84.00,Borussia Mönchengladbach, 21M , 39K ,1299.00
177358,M. Schneiderlin,27.00,France,83.00,85.00,Everton, 25.5M , 115K ,2078.00
176769,Jonas,33.00,Brazil,83.00,83.00,SL Benfica, 16.5M , 21K ,2006.00
176600,K. Gameiro,30.00,France,83.00,83.00,Atlético Madrid, 25M , 73K ,2040.00
173771,L. Piszczek,32.00,Poland,83.00,83.00,Borussia Dortmund, 14.5M , 66K ,2143.00
170481,E. Garay,30.00,Argentina,83.00,83.00,Valencia CF, 19M , 40K ,1952.00
167905,A. Valencia,31.00,Ecuador,83.00,83.00,Manchester United, 17M , 130K ,2185.00
163587,K. Schmeichel,30.00,Denmark,83.00,84.00,Leicester City, 19M , 65K ,1355.00
162240,M. Dembélé,29.00,Belgium,83.00,83.00,Tottenham Hotspur, 25M , 115K ,2186.00
161956,Borja Valero,32.00,Spain,83.00,83.00,Inter, 20M , 80K ,2089.00
159147,L. Perrin,31.00,France,83.00,83.00,AS Saint-Étienne, 17.5M , 46K ,2046.00
158963,L. Biglia,31.00,Argentina,83.00,83.00,Milan, 17.5M , 105K ,2129.00
146760,Juanfran,32.00,Spain,83.00,83.00,Atlético Madrid, 14.5M , 62K ,2080.00
146748,Diego López,35.00,Spain,83.00,83.00,RCD Espanyol, 6M , 19K ,1200.00
146562,Santi Cazorla,32.00,Spain,83.00,83.00,Arsenal, 19.5M , 130K ,2120.00
142754,J. Mascherano,33.00,Argentina,83.00,83.00,FC Barcelona, 10.5M , 155K ,1984.00
139869,W. Sneijder,33.00,Netherlands,83.00,83.00,OGC Nice, 15.5M , 47K ,1976.00
139068,Nani,30.00,Portugal,83.00,83.00,Lazio, 24.5M , 47K ,1949.00
53302,D. De Rossi,33.00,Italy,83.00,83.00,Roma, 10.5M , 73K ,2115.00
24630,José Reina,34.00,Spain,83.00,83.00,Napoli, 10.5M , 59K ,1291.00
20775,Quaresma,33.00,Portugal,83.00,83.00,Beşiktaş JK, 15.5M , 67K ,1962.00
20289,Y. Touré,34.00,Ivory Coast,83.00,83.00,Manchester City, 12.5M , 145K ,2161.00
5479,Casillas,36.00,Spain,83.00,83.00,FC Porto, 3.5M , 10K ,1293.00
230621,G. Donnarumma,18.00,Italy,82.00,94.00,Milan, 28.5M , 35K ,1266.00
222492,L. Sané,21.00,Germany,82.00,91.00,Manchester City, 34.5M , 125K ,2001.00
219809,T. Bakayoko,22.00,France,82.00,88.00,Chelsea, 26M , 105K ,1973.00
219683,C. Tolisso,22.00,France,82.00,89.00,FC Bayern Munich, 30.5M , 98K ,2205.00
217699,I. Slimani,29.00,Algeria,82.00,82.00,Leicester City, 22M , 100K ,1988.00
216594,N. Fekir,23.00,France,82.00,85.00,Olympique Lyonnais, 28M , 70K ,2011.00
216451,J. Seri,25.00,Ivory Coast,82.00,83.00,OGC Nice, 26M , 45K ,2178.00
215785,K. Baldé Diao,22.00,Senegal,82.00,90.00,AS Monaco, 32.5M , 46K ,1929.00
213331,J. Tah,21.00,Germany,82.00,88.00,Bayer 04 Leverkusen, 26M , 47K ,1651.00
212404,F. Bernardeschi,23.00,Italy,82.00,88.00,Juventus, 30.5M , 110K ,1995.00
212188,T. Werner,21.00,Germany,82.00,87.00,RB Leipzig, 30.5M , 68K ,1901.00
211575,André Gomes,23.00,Portugal,82.00,88.00,FC Barcelona, 30M , 150K ,2087.00
211300,A. Martial,21.00,France,82.00,90.00,Manchester United, 33M , 115K ,2053.00
209658,L. Goretzka,22.00,Germany,82.00,88.00,FC Schalke 04, 30M , 46K ,2198.00
208808,Q. Promes,25.00,Netherlands,82.00,85.00,Spartak Moscow, 28M , 76K ,2002.00
208618,Lucas Vázquez,26.00,Spain,82.00,83.00,Real Madrid CF, 26M , 185K ,2005.00
208421,Saúl,22.00,Spain,82.00,90.00,Atlético Madrid, 32M , 59K ,2092.00
207863,Felipe,28.00,Brazil,82.00,82.00,FC Porto, 18M , 20K ,1799.00
207664,C. Bacca,30.00,Colombia,82.00,82.00,Villarreal CF, 21.5M , 125K ,1872.00
207471,F. Vázquez,28.00,Italy,82.00,82.00,Sevilla FC, 22.5M , 27K ,1992.00
207410,M. Kovačić,23.00,Croatia,82.00,88.00,Real Madrid CF, 30M , 150K ,2054.00
206652,Sergio Rico,23.00,Spain,82.00,87.00,Sevilla FC, 21.5M , 16K ,1225.00
206545,Manu Trigueros,25.00,Spain,82.00,85.00,Villarreal CF, 27.5M , 43K ,2117.00
205452,A. Rüdiger,24.00,Germany,82.00,86.00,Chelsea, 24.5M , 105K ,1838.00
204970,F. Thauvin,24.00,France,82.00,85.00,Olympique de Marseille, 28M , 40K ,1966.00
204639,S. Savić,26.00,Montenegro,82.00,86.00,Atlético Madrid, 24M , 62K ,1692.00
204525,Iñigo Martínez,26.00,Spain,82.00,86.00,Real Sociedad, 24M , 37K ,1961.00
204277,Roque Mesa,28.00,Spain,82.00,82.00,Swansea City, 18M , 85K ,2009.00
203551,A. Florenzi,26.00,Italy,82.00,84.00,Roma, 22M , 73K ,2265.00
203483,D. Klaassen,24.00,Netherlands,82.00,85.00,Everton, 27.5M , 110K ,2108.00
202857,K. Bellarabi,27.00,Germany,82.00,82.00,Bayer 04 Leverkusen, 23M , 67K ,1965.00
202652,R. Sterling,22.00,England,82.00,87.00,Manchester City, 29.5M , 140K ,1960.00
202651,Suso,23.00,Spain,82.00,87.00,Milan, 29.5M , 110K ,1911.00
202477,Deulofeu,23.00,Spain,82.00,89.00,FC Barcelona, 31M , 165K ,1946.00
202335,E. Dier,23.00,England,82.00,87.00,Tottenham Hotspur, 25M , 85K ,2045.00
201862,M. Rojo,27.00,Argentina,82.00,83.00,Manchester United, 21M , 130K ,2045.00
200949,Lucas,24.00,Brazil,82.00,85.00,Paris Saint-Germain, 28M , 92K ,2049.00
200104,H. Son,24.00,Korea Republic,82.00,85.00,Tottenham Hotspur, 28M , 95K ,1975.00
199845,F. Acerbi,29.00,Italy,82.00,82.00,Sassuolo, 17M , 68K ,1815.00
199503,G. Xhaka,24.00,Switzerland,82.00,85.00,Arsenal, 27.5M , 110K ,1993.00
198164,Jonathan Viera,27.00,Spain,82.00,82.00,UD Las Palmas, 23M , 31K ,2099.00
197965,Pizzi,27.00,Portugal,82.00,82.00,SL Benfica, 23M , 19K ,2165.00
195093,Willian José,25.00,Brazil,82.00,86.00,Real Sociedad, 29M , 42K ,1923.00
193698,O. Baumann,27.00,Germany,82.00,84.00,TSG 1899 Hoffenheim, 18M , 37K ,1209.00
193532,G. Medel,29.00,Chile,82.00,82.00,Beşiktaş JK, 17M , 64K ,2013.00
193469,Víctor Ruíz,28.00,Spain,82.00,83.00,Villarreal CF, 20M , 43K ,1833.00
193348,X. Shaqiri,25.00,Switzerland,82.00,85.00,Stoke City, 28M , 85K ,2073.00
193082,J. Cuadrado,29.00,Colombia,82.00,82.00,Juventus, 21.5M , 130K ,2111.00
192387,C. Immobile,27.00,Italy,82.00,83.00,Lazio, 26M , 70K ,1948.00
190483,Douglas Costa,26.00,Brazil,82.00,82.00,Juventus, 24M , 115K ,2016.00
190456,N. Clyne,26.00,England,82.00,84.00,Liverpool, 22M , 115K ,2057.00
189560,Iborra,29.00,Spain,82.00,82.00,Leicester City, 17M , 85K ,2062.00
188943,K. Trapp,26.00,Germany,82.00,84.00,Paris Saint-Germain, 18.5M , 71K ,1194.00
188942,V. Wanyama,26.00,Kenya,82.00,85.00,Tottenham Hotspur, 23M , 99K ,2103.00
188803,Taison,29.00,Brazil,82.00,82.00,Shakhtar Donetsk, 21.5M , 1K ,2045.00
187754,Marlos,29.00,Brazil,82.00,82.00,Shakhtar Donetsk, 21.5M , 1K ,2060.00
187072,L. Stindl,28.00,Germany,82.00,82.00,Borussia Mönchengladbach, 23M , 56K ,2173.00
186627,M. Balotelli,26.00,Italy,82.00,82.00,OGC Nice, 24.5M , 51K ,1887.00
186561,A. Ramsey,26.00,Wales,82.00,83.00,Arsenal, 25.5M , 130K ,2114.00
186153,W. Szczęsny,27.00,Poland,82.00,84.00,Juventus, 18M , 90K ,1250.00
184484,G. Sigurðsson,27.00,Iceland,82.00,82.00,Everton, 23M , 130K ,2096.00
184267,Y. Brahimi,27.00,Algeria,82.00,82.00,FC Porto, 23M , 21K ,1971.00
184200,M. Arnautović,28.00,Austria,82.00,82.00,West Ham United, 22.5M , 125K ,2094.00
183711,J. Henderson,27.00,England,82.00,84.00,Liverpool, 21.5M , 115K ,2183.00
183574,M. Kruse,29.00,Germany,82.00,82.00,SV Werder Bremen, 22M , 47K ,2053.00
183497,O. Karnezis,31.00,Greece,82.00,82.00,Watford, 13.5M , 30K ,1212.00
183376,L. Fejsa,28.00,Serbia,82.00,82.00,SL Benfica, 18M , 18K ,1942.00
182494,F. Muslera,31.00,Uruguay,82.00,82.00,Galatasaray SK, 13.5M , 57K ,1370.00
181786,V. Ćorluka,31.00,Croatia,82.00,82.00,Lokomotiv Moscow, 15M , 54K ,1922.00
181291,G. Wijnaldum,26.00,Netherlands,82.00,85.00,Liverpool, 27M , 130K ,2167.00
179847,F. Fazio,30.00,Argentina,82.00,82.00,Roma, 16.5M , 73K ,1611.00
178509,O. Giroud,30.00,France,82.00,82.00,Arsenal, 21.5M , 140K ,1933.00
178372,B. Ivanović,33.00,Serbia,82.00,82.00,Zenit St. Petersburg, 9M , 73K ,1984.00
178224,J. Hernández,29.00,Mexico,82.00,82.00,West Ham United, 22M , 135K ,1917.00
177600,Beñat,30.00,Spain,82.00,82.00,Athletic Club de Bilbao, 20.5M , 35K ,2106.00
177457,L. Bender,28.00,Germany,82.00,83.00,Bayer 04 Leverkusen, 20M , 64K ,2038.00
177413,A. Witsel,28.00,Belgium,82.00,82.00,, $-   , $-   ,2143.00
174543,C. Bravo,34.00,Chile,82.00,82.00,Manchester City, 9M , 110K ,1464.00
172723,A. Begović,30.00,Bosnia Herzegovina,82.00,82.00,Bournemouth, 14M , 64K ,1233.00
171919,Naldo,34.00,Brazil,82.00,82.00,FC Schalke 04, 6.5M , 48K ,1949.00
171833,D. Sturridge,27.00,England,82.00,82.00,Liverpool, 23.5M , 140K ,1882.00
169595,D. Rose,26.00,England,82.00,83.00,Tottenham Hotspur, 21M , 99K ,2117.00
169416,C. Vela,28.00,Mexico,82.00,82.00,Real Sociedad, 22.5M , 46K ,1963.00
168354,E. Viviano,31.00,Italy,82.00,82.00,Sampdoria, 13.5M , 37K ,1162.00
167431,G. Castro,30.00,Germany,82.00,82.00,Borussia Dortmund, 20.5M , 72K ,2156.00
